experiment,repeat_id,b,scale_state,v_oracle,v_raw,v_iso,delta_v,treat_rate_oracle,treat_rate_raw,treat_rate_iso,raw_treated_true_positive_share,raw_treated_false_positive_share,iso_treated_true_positive_share,iso_treated_false_positive_share,mse_raw,mse_iso,cal_raw,cal_iso,t_theta,flip_rate,flip_count,beneficial_flip_rate,harmful_flip_rate,beneficial_flip_count,harmful_flip_count,beneficial_sign_share,harmful_sign_share,beneficial_value,harmful_value,mean_tau_flip_region,mean_abs_tau_flip_region,global_spearman,flip_region_spearman
slope_bias,1,0.25,compressed,0.964355713364063,0.964355713364063,0.963504884704476,-0.000850828659587299,0.1594,0.1594,0.2778,1,0,0.573794096472282,0.426205903527718,0.0231882249277367,0.000982221158666625,0.0169542540433672,0.000694708678505532,-0.00357608444074414,0.1184,592,0,0.1184,0,592,0,1,0,-0.000850828659587207,-0.0071860528681352,0.0071860528681352,1,1
slope_bias,1,0.5,compressed,0.964355713364063,0.964355713364063,0.963504884704476,-0.000850828659587299,0.1594,0.1594,0.2778,1,0,0.573794096472282,0.426205903527718,0.0103058777456607,0.000982221158666625,0.00645302226802904,0.000694708678505532,-0.00715216888148829,0.1184,592,0,0.1184,0,592,0,1,0,-0.000850828659587207,-0.0071860528681352,0.0071860528681352,1,1
slope_bias,1,0.75,compressed,0.964355713364063,0.964355713364063,0.963504884704476,-0.000850828659587299,0.1594,0.1594,0.2778,1,0,0.573794096472282,0.426205903527718,0.00257646943641518,0.000982221158666625,0.000993520780008037,0.000694708678505532,-0.0107282533222324,0.1184,592,0,0.1184,0,592,0,1,0,-0.000850828659587207,-0.0071860528681352,0.0071860528681352,1,1
slope_bias,1,1,identity_scale,0.964355713364063,0.964355713364063,0.963504884704476,-0.000850828659587299,0.1594,0.1594,0.2778,1,0,0.573794096472282,0.426205903527718,0,0.000982221158666625,0.000575749579304181,0.000694708678505532,-0.0143043377629766,0.1184,592,0,0.1184,0,592,0,1,0,-0.000850828659587207,-0.0071860528681352,0.0071860528681352,1,1
slope_bias,1,1.25,expanded,0.964355713364063,0.964355713364063,0.963504884704476,-0.000850828659587299,0.1594,0.1594,0.2778,1,0,0.573794096472282,0.426205903527718,0.00257646943641518,0.000982221158666625,0.00519970866591747,0.000694708678505532,-0.0178804222037207,0.1184,592,0,0.1184,0,592,0,1,0,-0.000850828659587207,-0.0071860528681352,0.0071860528681352,1,1
slope_bias,1,1.5,expanded,0.964355713364063,0.964355713364063,0.963504884704476,-0.000850828659587299,0.1594,0.1594,0.2778,1,0,0.573794096472282,0.426205903527718,0.0103058777456607,0.000982221158666625,0.0148653980398479,0.000694708678505532,-0.0214565066444649,0.1184,592,0,0.1184,0,592,0,1,0,-0.000850828659587207,-0.0071860528681352,0.0071860528681352,1,1
slope_bias,1,2,expanded,0.964355713364063,0.964355713364063,0.963504884704476,-0.000850828659587299,0.1594,0.1594,0.2778,1,0,0.573794096472282,0.426205903527718,0.041223510982643,0.000982221158666625,0.0493219676496602,0.000694708678505532,-0.0286086755259531,0.1184,592,0,0.1184,0,592,0,1,0,-0.000850828659587207,-0.0071860528681352,0.0071860528681352,1,1
slope_bias,2,0.25,compressed,0.966179657277229,0.966179657277229,0.966097324090275,-8.23331869533872e-05,0.1558,0.1558,0.1904,1,0,0.81827731092437,0.18172268907563,0.0248865402387197,0.00113340465380188,0.0232381138125167,0.000725716464054828,-0.00110967721767433,0.0346,173,0,0.0346,0,173,0,1,0,-8.23331869533641e-05,-0.00237957187726486,0.00237957187726486,1,1
slope_bias,2,0.5,compressed,0.966179657277229,0.966179657277229,0.966097324090275,-8.23331869533872e-05,0.1558,0.1558,0.1904,1,0,0.81827731092437,0.18172268907563,0.0110606845505421,0.00113340465380188,0.0101615210450991,0.000725716464054828,-0.00221935443534865,0.0346,173,0,0.0346,0,173,0,1,0,-8.23331869533641e-05,-0.00237957187726486,0.00237957187726486,1,1
slope_bias,2,0.75,compressed,0.966179657277229,0.966179657277229,0.966097324090275,-8.23331869533872e-05,0.1558,0.1558,0.1904,1,0,0.81827731092437,0.18172268907563,0.00276517113763552,0.00113340465380188,0.00251205012948423,0.000725716464054828,-0.00332903165302298,0.0346,173,0,0.0346,0,173,0,1,0,-8.23331869533641e-05,-0.00237957187726486,0.00237957187726486,1,1
