sigma,v_oracle,v_raw,v_iso,delta_v,treat_rate_oracle,treat_rate_raw,treat_rate_iso,raw_treated_true_positive_share,raw_treated_false_positive_share,iso_treated_true_positive_share,iso_treated_false_positive_share,mse_raw,mse_iso,cal_raw,cal_iso,t_theta,flip_rate,flip_count,beneficial_flip_rate,harmful_flip_rate,beneficial_flip_count,harmful_flip_count,beneficial_sign_share,harmful_sign_share,beneficial_value,harmful_value,mean_tau_flip_region,mean_abs_tau_flip_region,global_spearman,flip_region_spearman,n_reps
0,0.965262446222424,0.965262446222424,0.964696628678942,-0.000565817543481383,0.159849333333333,0.159849333333333,0.171020666666667,1,0,0.843073681820767,0.156926318179233,0,0.00152928114769657,0.000645015462198086,0.00109736106890441,0.0010416279743826,0.0729006666666667,364.503333333333,0,0.0729006666666667,0,364.503333333333,0,1,0,-0.000565817543481379,-0.000190562617676566,0.00521106721276234,1,1,300
0.02,0.965262446222424,0.964378516957236,0.963859376701996,-0.000519140255240752,0.159849333333333,0.159849333333333,0.157367333333333,0.712932736119619,0.287067263880381,0.7366282913488,0.2633717086512,0.000364833132858805,0.0018543611040669,0.00066716300077921,0.00107884253483211,0.00393509816852618,0.0754313333333333,377.156666666667,0.0267413333333333,0.04869,133.706666666667,243.45,0.403631908263339,0.596368091736661,0.000284574035595567,-0.000803714290836317,-0.00211832358628105,0.0133672295805065,0.968046480537219,0.177712402140839,300
0.05,0.965262446222424,0.962630514636553,0.9623907809151,-0.000239733721453452,0.159849333333333,0.159849333333333,0.123789333333333,0.530301797247565,0.469698202752435,0.601544071984954,0.398455928015046,0.00193190147591085,0.00318110317259415,0.000739607047255,0.00107113647329695,0.0143710952078115,0.0800693333333333,400.346666666667,0.0383993333333333,0.04167,191.996666666667,208.35,0.496609086609858,0.503390913390142,0.000806422494949923,-0.00104615621640337,-0.00582598043823952,0.0227653584997315,0.888334483179459,0.0942687691331939,300
0.08,0.965262446222424,0.961140795031918,0.961528216358633,0.00038742132671472,0.159849333333333,0.159849333333333,0.0892113333333333,0.438922458584679,0.561077541415321,0.538983364788219,0.461016635211781,0.00433825542615512,0.00525194300453912,0.00088497815500061,0.00104784157934964,0.0290588998990393,0.0939833333333333,469.916666666667,0.0529033333333333,0.04108,264.516666666667,205.4,0.558068331215017,0.441931668784983,0.00153891304169638,-0.00115149171498167,-0.0107516690604456,0.028835085442048,0.810577196584048,0.0973494546832764,300
0.12,0.965262446222424,0.959611344361455,0.961160032603942,0.00154868824248668,0.159849333333333,0.159849333333333,0.0586686666666667,0.374552419188449,0.625447580811551,0.474045431701738,0.525954568298262,0.00846019036155723,0.00876591213126894,0.0014178759573501,0.0010140114457801,0.0390165848961528,0.106399333333333,531.996666666667,0.06805,0.0383493333333333,340.25,191.746666666667,0.633551712763115,0.366448287236885,0.00260527113390869,-0.00105658289142201,-0.0174761283374069,0.0349352554142817,0.717441783969351,0.0849036276623654,300
