experiment,repeat_id,a,direction,v_oracle,v_raw,v_iso,delta_v,treat_rate_oracle,treat_rate_raw,treat_rate_iso,raw_treated_true_positive_share,raw_treated_false_positive_share,iso_treated_true_positive_share,iso_treated_false_positive_share,mse_raw,mse_iso,cal_raw,cal_iso,t_theta,flip_rate,flip_count,beneficial_flip_rate,harmful_flip_rate,beneficial_flip_count,harmful_flip_count,beneficial_sign_share,harmful_sign_share,beneficial_value,harmful_value,mean_tau_flip_region,mean_abs_tau_flip_region,global_spearman,flip_region_spearman
additive_bias,1,-0.5,score_low_bias,0.964355713364063,0.960747067993669,0.963504884704476,0.00275781671080622,0.1594,0,0.2778,,,0.573794096472282,0.426205903527718,0.25,0.000982221158666625,0.266753364910924,0.000694708678505532,-0.514304337762977,0.2778,1389,0.1594,0.1184,797,592,0.573794096472282,0.426205903527718,0.00360864537039352,-0.000850828659587207,0.00992734597122504,0.0160528222821481,1,1
additive_bias,1,-0.25,score_low_bias,0.964355713364063,0.960747067993669,0.963504884704476,0.00275781671080622,0.1594,0,0.2778,,,0.573794096472282,0.426205903527718,0.0625,0.000982221158666625,0.0711645572451139,0.000694708678505532,-0.264304337762977,0.2778,1389,0.1594,0.1184,797,592,0.573794096472282,0.426205903527718,0.00360864537039352,-0.000850828659587207,0.00992734597122504,0.0160528222821481,1,1
additive_bias,1,-0.1,score_low_bias,0.964355713364063,0.961204694670285,0.963504884704476,0.0023001900341908,0.1594,0.004,0.2778,1,0,0.573794096472282,0.426205903527718,0.01,0.000982221158666625,0.0138112726456281,0.000694708678505532,-0.114304337762977,0.2738,1369,0.1554,0.1184,777,592,0.567567567567568,0.432432432432432,0.00315101869377803,-0.000850828659587207,0.00840098624613157,0.0146159508888431,1,1
additive_bias,1,0,no_bias,0.964355713364063,0.964355713364063,0.963504884704476,-0.000850828659587299,0.1594,0.1594,0.2778,1,0,0.573794096472282,0.426205903527718,0,0.000982221158666625,0.000575749579304181,0.000694708678505532,-0.0143043377629766,0.1184,592,0,0.1184,0,592,0,1,0,-0.000850828659587207,-0.0071860528681352,0.0071860528681352,1,1
additive_bias,1,0.1,score_high_bias,0.964355713364063,0.948585466807187,0.963504884704476,0.0149194178972883,0.1594,0.6058,0.2778,0.263123142951469,0.736876857048531,0.573794096472282,0.426205903527718,0.01,0.000982221158666625,0.00734022651298031,0.000694708678505532,0.0856956622370234,0.328,1640,0.328,0,1640,0,1,0,0.0149194178972884,0,-0.0454860301746597,0.0454860301746597,1,1
additive_bias,1,0.25,score_high_bias,0.964355713364063,0.915925274651412,0.963504884704476,0.0475796100530632,0.1594,0.7998,0.2778,0.199299824956239,0.800700175043761,0.573794096472282,0.426205903527718,0.0625,0.000982221158666625,0.0549869419134945,0.000694708678505532,0.235695662237023,0.522,2610,0.522,0,2610,0,1,0,0.0475796100530633,0,-0.0911486782625733,0.0911486782625733,1,1
additive_bias,1,0.5,score_high_bias,0.964355713364063,0.85848205126046,0.963504884704476,0.105022833444016,0.1594,0.96,0.2778,0.166041666666667,0.833958333333333,0.573794096472282,0.426205903527718,0.25,0.000982221158666625,0.234398134247685,0.000694708678505532,0.485695662237023,0.6822,3411,0.6822,0,3411,0,1,0,0.105022833444016,0,-0.153947278575221,0.153947278575221,1,1
additive_bias,2,-0.5,score_low_bias,0.966179657277229,0.962533702707303,0.966097324090275,0.0035636213829725,0.1558,0,0.1904,,,0.81827731092437,0.18172268907563,0.25,0.00113340465380188,0.259311174181603,0.000725716464054828,-0.504438708870697,0.1904,952,0.1558,0.0346,779,173,0.81827731092437,0.18172268907563,0.00364595456992588,-8.23331869533641e-05,0.0187164988601498,0.0195813432609204,1,1
additive_bias,2,-0.25,score_low_bias,0.966179657277229,0.962533702707303,0.966097324090275,0.0035636213829725,0.1558,0,0.1904,,,0.81827731092437,0.18172268907563,0.0625,0.00113340465380188,0.0673004376236375,0.000725716464054828,-0.254438708870697,0.1904,952,0.1558,0.0346,779,173,0.81827731092437,0.18172268907563,0.00364595456992588,-8.23331869533641e-05,0.0187164988601498,0.0195813432609204,1,1
additive_bias,2,-0.1,score_low_bias,0.966179657277229,0.962935346474327,0.966097324090275,0.00316197761594805,0.1558,0.0034,0.1904,1,0,0.81827731092437,0.18172268907563,0.01,0.00113340465380188,0.0120939956888582,0.000725716464054828,-0.104438708870697,0.187,935,0.1524,0.0346,762,173,0.814973262032085,0.185026737967914,0.00324431080290142,-8.23331869533641e-05,0.0169089712082784,0.0177895400526994,1,1
