experiment,repeat_id,sigma,a,direction,v_oracle,v_raw,v_iso,delta_v,treat_rate_oracle,treat_rate_raw,treat_rate_iso,raw_treated_true_positive_share,raw_treated_false_positive_share,iso_treated_true_positive_share,iso_treated_false_positive_share,mse_raw,mse_iso,cal_raw,cal_iso,t_theta,flip_rate,flip_count,beneficial_flip_rate,harmful_flip_rate,beneficial_flip_count,harmful_flip_count,beneficial_sign_share,harmful_sign_share,beneficial_value,harmful_value,mean_tau_flip_region,mean_abs_tau_flip_region,global_spearman,flip_region_spearman
sorting_additive_bias,2,0,-0.1,score_low_bias,0.966179657277229,0.962935346474327,0.966097324090275,0.00316197761594805,0.1558,0.0034,0.1904,1,0,0.81827731092437,0.18172268907563,0.01,0.00113340465380188,0.0120939956888582,0.000725716464054828,-0.104438708870697,0.187,935,0.1524,0.0346,762,173,0.814973262032085,0.185026737967914,0.00324431080290142,-8.23331869533641e-05,0.0169089712082784,0.0177895400526994,1,1
sorting_additive_bias,2,0,0.1,score_high_bias,0.966179657277229,0.950620915967484,0.966097324090275,0.0154764081227908,0.1558,0.5886,0.1904,0.2646958885491,0.7353041114509,0.81827731092437,0.18172268907563,0.01,0.00113340465380188,0.00848540644248583,0.000725716464054828,0.0955612911293027,0.3982,1991,0.3982,0,1991,0,1,0,0.0154764081227908,0,-0.0388659169331762,0.0388659169331762,1,1
sorting_additive_bias,2,0.02,-0.1,score_low_bias,0.966179657277229,0.962908182006153,0.965049974722497,0.00214179271634418,0.1558,0.0034,0.2012,1,0,0.631212723658052,0.368787276341948,0.010368569875677,0.00144471215303311,0.0120702452050204,0.000859953559965061,-0.10600992902397,0.1978,989,0.1236,0.0742,618,371,0.624873609706775,0.375126390293226,0.00305581528367983,-0.000914022567335668,0.0108280723778775,0.0200699588018984,0.967718664308746,0.639945646746775
sorting_additive_bias,2,0.02,0.1,score_high_bias,0.966179657277229,0.95025616741262,0.965049974722497,0.0147938073098769,0.1558,0.5886,0.2012,0.2646958885491,0.7353041114509,0.631212723658052,0.368787276341948,0.010368569875677,0.00144471215303311,0.00846165595864801,0.000859953559965061,0.0939900709760298,0.3874,1937,0.3586,0.0288,1793,144,0.925658234383067,0.0743417656169334,0.0150094672972727,-0.00021565998739578,-0.038187422069894,0.039300793197389,0.967718664308746,0.755217276428674
sorting_additive_bias,2,0.05,-0.1,score_low_bias,0.966179657277229,0.96277048833613,0.96370966084272,0.000939172506590147,0.1558,0.0034,0.0482,0.882352941176471,0.117647058823529,0.705394190871369,0.294605809128631,0.0119701050387959,0.00277775972265155,0.0121628736644115,0.000915604786253492,-0.0733299833696417,0.0448,224,0.031,0.0138,155,69,0.691964285714286,0.308035714285714,0.00116584442642804,-0.000226671919837914,0.020963672022101,0.0310829541577222,0.887616682832667,0.320865897928678
sorting_additive_bias,2,0.05,0.1,score_high_bias,0.966179657277229,0.947609134543189,0.96370966084272,0.016100526299531,0.1558,0.5886,0.0482,0.264356099218485,0.735643900781516,0.705394190871369,0.294605809128631,0.0119701050387959,0.00277775972265155,0.00855428441803909,0.000915604786253492,0.126670016630358,0.5404,2702,0.4188,0.1216,2094,608,0.774981495188749,0.225018504811251,0.0183414650264704,-0.00224093872693946,-0.0297937200213378,0.0380873496547185,0.887616682832667,0.507310016548535
sorting_additive_bias,2,0.08,-0.1,score_low_bias,0.966179657277229,0.962669493042982,0.962679427171013,9.93412803085292e-06,0.1558,0.0034,0.0068,0.823529411764706,0.176470588235294,0.647058823529412,0.352941176470588,0.014294881970639,0.00483842217278672,0.0126900427362965,0.000600611634382817,-0.0178687143851321,0.0034,17,0.0016,0.0018,8,9,0.470588235294118,0.529411764705882,4.32804999636202e-05,-3.33463719327418e-05,0.00292180236202304,0.0225373152636359,0.813823299752932,0.213235294117647
sorting_additive_bias,2,0.08,0.1,score_high_bias,0.966179657277229,0.943549073320782,0.962679427171013,0.0191303538502313,0.1558,0.5886,0.0068,0.253822629969419,0.746177370030581,0.647058823529412,0.352941176470588,0.014294881970639,0.00483842217278672,0.00908145348992413,0.000600611634382817,0.182131285614868,0.5818,2909,0.4368,0.145,2184,725,0.750773461670677,0.249226538329323,0.0225118713086012,-0.00338151745836985,-0.0328813232214358,0.0445056527448798,0.813823299752932,0.438259195970342
sorting_additive_bias,2,0.12,-0.1,score_low_bias,0.966179657277229,0.962584032246734,0.961143765481793,-0.00144026676494091,0.1558,0.0034,0.1214,0.588235294117647,0.411764705882353,0.378912685337727,0.621087314662274,0.0184654025119995,0.00845055477155945,0.0128701814882562,0.000409499854749023,-0.0950215335494996,0.118,590,0.044,0.074,220,370,0.372881355932203,0.627118644067797,0.00133403783175317,-0.00277430459669404,-0.0122056505503464,0.0348164612580272,0.708214734728589,0.173589687445725
sorting_additive_bias,2,0.12,0.1,score_high_bias,0.966179657277229,0.937918199779172,0.961143765481793,0.0232255657026212,0.1558,0.5886,0.1214,0.237852531430513,0.762147468569487,0.378912685337727,0.621087314662274,0.0184654025119995,0.00845055477155945,0.00926159224188388,0.000409499854749023,0.1049784664505,0.4672,2336,0.3732,0.094,1866,470,0.798801369863014,0.201198630136986,0.0252236835077446,-0.00199811780512333,-0.0497122553566379,0.0582658418511727,0.708214734728589,0.225461347336279
sorting_additive_bias,3,0,-0.1,score_low_bias,0.965835243981562,0.962667644933811,0.963026493775272,0.000358848841460313,0.155,0.0028,0.3632,1,0,0.426762114537445,0.573237885462555,0.01,0.00184623974380345,0.0116557767158645,0.000903798700498732,-0.127297807032789,0.3604,1802,0.1522,0.2082,761,1041,0.422308546059933,0.577691453940067,0.00316759904775022,-0.00280875020628987,0.000995696008491532,0.0165825451000003,1,1
sorting_additive_bias,3,0,0.1,score_high_bias,0.965835243981562,0.949161219379675,0.963026493775272,0.0138652743955972,0.155,0.608,0.3632,0.254934210526316,0.745065789473684,0.426762114537445,0.573237885462555,0.01,0.00184623974380345,0.0101728568907139,0.000903798700498732,0.0727021929672112,0.2448,1224,0.2448,0,1224,0,1,0,0.0138652743955972,0,-0.0566391927924721,0.0566391927924721,1,1
sorting_additive_bias,3,0.02,-0.1,score_low_bias,0.965835243981562,0.962604908461708,0.963982714874966,0.00137780641325813,0.155,0.0028,0.2622,1,0,0.536994660564455,0.463005339435545,0.0103726673337656,0.0018663674633265,0.0118289575935508,0.000975997282595855,-0.113710919621686,0.2594,1297,0.138,0.1214,690,607,0.531996915959908,0.468003084040093,0.00311775122745856,-0.00173994481420046,0.00531151277277603,0.0187266616871974,0.965756058086242,0.617189932025014
sorting_additive_bias,3,0.02,0.1,score_high_bias,0.965835243981562,0.948785354520023,0.963982714874966,0.0151973603549438,0.155,0.608,0.2622,0.254934210526316,0.745065789473684,0.536994660564455,0.463005339435545,0.0103726673337656,0.0018663674633265,0.0103460377684002,0.000975997282595855,0.0862890803783141,0.3458,1729,0.3316,0.0142,1658,71,0.958935801041064,0.0410641989589358,0.0153099446473385,-0.00011258429239474,-0.043948410511694,0.0445995631571234,0.965756058086242,0.754981138001369
sorting_additive_bias,3,0.05,-0.1,score_low_bias,0.965835243981562,0.962526025320585,0.96325864848481,0.000732623164224733,0.155,0.0028,0.1606,0.928571428571429,0.0714285714285714,0.525529265255293,0.474470734744707,0.0119007283589964,0.00491875065392103,0.0116478042731734,0.000894707822350317,-0.100710791217435,0.1578,789,0.0818,0.076,409,380,0.518377693282636,0.481622306717364,0.00232822379833314,-0.00159560063410837,0.00464273234616457,0.0248658075566636,0.885359549462382,0.299168716676899
sorting_additive_bias,3,0.05,0.1,score_high_bias,0.965835243981562,0.94643373018941,0.96325864848481,0.0168249182953997,0.155,0.608,0.1606,0.253618421052632,0.746381578947369,0.525529265255293,0.474470734744707,0.0119007283589964,0.00491875065392103,0.0101648844480228,0.000894707822350317,0.0992892087825653,0.4474,2237,0.3776,0.0698,1888,349,0.843987483236477,0.156012516763523,0.0177924599227524,-0.000967541627352801,-0.0376059863553859,0.0419311612653224,0.885359549462382,0.460870052787474
sorting_additive_bias,3,0.08,-0.1,score_low_bias,0.965835243981562,0.962440234937216,0.962672048600796,0.000231813663580382,0.155,0.0028,0.1016,0.642857142857143,0.357142857142857,0.509842519685039,0.490157480314961,0.0141645922936543,0.00495672481882296,0.0120930231509703,0.0011502303816532,-0.0922254342789894,0.0988,494,0.05,0.0488,250,244,0.506072874493927,0.493927125506073,0.00154434375450814,-0.00131253009092775,0.00234629214150185,0.0289157271805252,0.810898065299923,0.194317201961058
sorting_additive_bias,3,0.08,0.1,score_high_bias,0.965835243981562,0.94286990024826,0.962672048600796,0.0198021483525357,0.155,0.608,0.1016,0.248355263157895,0.751644736842105,0.509842519685039,0.490157480314961,0.0141645922936543,0.00495672481882296,0.0106101033258197,0.0011502303816532,0.107774565721011,0.5064,2532,0.4072,0.0992,2036,496,0.804107424960506,0.195892575039494,0.0216020382809279,-0.00179988992839225,-0.0391037684686723,0.0462123384860193,0.810898065299923,0.352759651145663
sorting_additive_bias,3,0.12,-0.1,score_low_bias,0.965835243981562,0.962334445587122,0.962291184554678,-4.32610324444527e-05,0.155,0.0028,0.008,0.5,0.5,0.4,0.6,0.018543631699632,0.00974789565055192,0.012707626682843,0.000254276814552789,-0.0177723682617759,0.0052,26,0.0018,0.0034,9,17,0.346153846153846,0.653846153846154,6.20275785838098e-05,-0.000105288611028213,-0.0083194293162313,0.0321761903100043,0.696878921027157,0.412649572649573
