experiment,repeat_id,sigma,v_oracle,v_raw,v_iso,delta_v,treat_rate_oracle,treat_rate_raw,treat_rate_iso,raw_treated_true_positive_share,raw_treated_false_positive_share,iso_treated_true_positive_share,iso_treated_false_positive_share,mse_raw,mse_iso,cal_raw,cal_iso,t_theta,flip_rate,flip_count,beneficial_flip_rate,harmful_flip_rate,beneficial_flip_count,harmful_flip_count,beneficial_sign_share,harmful_sign_share,beneficial_value,harmful_value,mean_tau_flip_region,mean_abs_tau_flip_region,global_spearman,flip_region_spearman
sorting,1,0,0.964355713364063,0.964355713364063,0.963504884704476,-0.000850828659587299,0.1594,0.1594,0.2778,1,0,0.573794096472282,0.426205903527718,0,0.000982221158666625,0.000575749579304181,0.000694708678505532,-0.0143043377629766,0.1184,592,0,0.1184,0,592,0,1,0,-0.000850828659587207,-0.0071860528681352,0.0071860528681352,1,1
sorting,1,0.02,0.964355713364063,0.963507396609159,0.963246227962847,-0.000261168646312204,0.1594,0.1594,0.2,0.713927227101631,0.286072772898369,0.636,0.364,0.000341185560929595,0.00197624681080419,0.000728325575053374,0.000801885731616194,-0.00484016485215277,0.0406,203,0.0134,0.0272,67,136,0.330049261083744,0.669950738916256,0.000135609299219554,-0.000396777945531768,-0.00643272527862597,0.0131129863239242,0.965768440358737,0.131561808745349
sorting,1,0.05,0.964355713364063,0.961537650147903,0.962067489032031,0.000529838884127498,0.1594,0.1594,0.0784,0.495608531994981,0.504391468005019,0.599489795918367,0.400510204081633,0.00192604448108506,0.00254018639669962,0.00142911854317938,0.00148813042517182,0.0145922083250485,0.081,405,0.049,0.032,245,160,0.604938271604938,0.395061728395062,0.0011562338042217,-0.000626394920094209,-0.00654122079169748,0.0220077620285915,0.880398953455958,0.092896251858355
sorting,1,0.08,0.964355713364063,0.960062370324571,0.960980263060555,0.000917892735983972,0.1594,0.1594,0.098,0.422835633626098,0.577164366373902,0.473469387755102,0.526530612244898,0.00433499911591246,0.00509091370227148,0.00138046919987047,0.00067735421191537,0.00936898048221457,0.0614,307,0.0404,0.021,202,105,0.657980456026059,0.342019543973941,0.00132898870641146,-0.000411095970427416,-0.0149493930942026,0.028340141316594,0.795435031529401,0.147926863964419
sorting,1,0.12,0.964355713364063,0.95886872003847,0.960379107561036,0.00151038752256605,0.1594,0.1594,0.072,0.372647427854454,0.627352572145546,0.413888888888889,0.586111111111111,0.00866187985927479,0.00923116272352727,0.00336104394370693,0.00119985834430771,0.0158135299118216,0.0874,437,0.0578,0.0296,289,148,0.661327231121281,0.338672768878719,0.00228657353682791,-0.000776186014261832,-0.0172813217684906,0.0350430154586927,0.698385615263425,0.0751054940902316
sorting,2,0,0.966179657277229,0.966179657277229,0.966097324090275,-8.23331869533872e-05,0.1558,0.1558,0.1904,1,0,0.81827731092437,0.18172268907563,0,0.00113340465380188,0.000289701065672017,0.000725716464054828,-0.00443870887069731,0.0346,173,0,0.0346,0,173,0,1,0,-8.23331869533641e-05,-0.00237957187726486,0.00237957187726486,1,1
sorting,2,0.02,0.966179657277229,0.965284102063898,0.963690978898358,-0.00159312316554006,0.1558,0.1558,0.307,0.709884467265725,0.290115532734275,0.482736156351792,0.517263843648208,0.000361916926833492,0.00135116550765343,0.000230242149802023,0.000705728072738722,-0.0192630186940564,0.1512,756,0.0376,0.1136,188,568,0.248677248677249,0.751322751322751,0.000381918609073931,-0.00197504177461401,-0.0105365288726196,0.0155883623259784,0.969526262301051,0.258649215472507
sorting,2,0.05,0.966179657277229,0.963614702869341,0.963901993008393,0.000287290139052265,0.1558,0.1558,0.1032,0.525032092426187,0.474967907573813,0.593023255813954,0.406976744186047,0.00194295597379785,0.00290566727971485,0.000445819464689366,0.000896417663483589,0.00833729747692236,0.0526,263,0.032,0.0206,160,103,0.608365019011407,0.391634980988593,0.000738220335557577,-0.00045093019650531,-0.00546178971582256,0.0226074245639332,0.895509321708373,0.127247792117325
sorting,2,0.08,0.966179657277229,0.962301955151854,0.963078830253282,0.000776875101427543,0.1558,0.1558,0.0578,0.456996148908858,0.543003851091143,0.546712802768166,0.453287197231834,0.00441120917798158,0.00473424736001078,0.00078013921609167,0.00108871717357926,0.0220495513585114,0.098,490,0.0584,0.0396,292,198,0.595918367346939,0.404081632653061,0.00188387843501927,-0.00110700333359177,-0.00792729695334181,0.0305192017205208,0.809015808872632,0.0684178490658318
sorting,2,0.12,0.966179657277229,0.960934462213719,0.961831499236767,0.000897037023047997,0.1558,0.1558,0.1142,0.396662387676508,0.603337612323492,0.415061295971979,0.584938704028021,0.00847218261631163,0.00887359617218653,0.0012352610676731,0.000717957367701997,0.00607076389317418,0.0416,208,0.0272,0.0144,136,72,0.653846153846154,0.346153846153846,0.00120007775860884,-0.000303040735560751,-0.0215633899771175,0.0361326561098459,0.723666537362661,0.0271772468568807
sorting,3,0,0.965835243981562,0.965835243981562,0.963026493775272,-0.0028087502062899,0.155,0.155,0.3632,1,0,0.426762114537445,0.573237885462555,0,0.00184623974380345,0.0009143168032892,0.000903798700498732,-0.0272978070327888,0.2082,1041,0,0.2082,0,1041,0,1,0,-0.00280875020628987,-0.0134906349965892,0.0134906349965892,1,1
sorting,3,0.02,0.965835243981562,0.964891271958604,0.963993723593863,-0.000897548364741319,0.155,0.155,0.2622,0.692903225806452,0.307096774193548,0.535469107551488,0.464530892448513,0.000382643024502591,0.00201619769262707,0.000664862558992525,0.00101126585032248,-0.0137109196216859,0.1072,536,0.033,0.0742,165,371,0.307835820895522,0.692164179104478,0.000327069269893215,-0.00122461763463447,-0.00837265265616838,0.0144746912735791,0.964385197519408,0.191957380122829
sorting,3,0.05,0.965835243981562,0.963187139706565,0.962788992960089,-0.000398146746476535,0.155,0.155,0.1838,0.531612903225807,0.468387096774194,0.494015233949946,0.505984766050054,0.001916051679506,0.00317836652896134,0.000931443408104294,0.000509096116874675,-0.00355791808024464,0.0288,144,0.0084,0.0204,42,102,0.291666666666667,0.708333333333333,0.000172418636042041,-0.000570565382518536,-0.0138245398082116,0.0257980562000201,0.881316563252663,0.131741821396994
sorting,3,0.08,0.965835243981562,0.961795411121104,0.959292501653937,-0.00250290946716647,0.155,0.155,0.2694,0.434838709677419,0.565161290322581,0.366740905716407,0.633259094283593,0.00422281399029778,0.00607659401635472,0.00066117616146287,0.00076349075923428,-0.0145907134208091,0.1144,572,0.0314,0.083,157,415,0.274475524475525,0.725524475524476,0.000690842285267083,-0.00319375175243359,-0.0218785792584485,0.0339562415882926,0.807814773176591,0.119475256132723
sorting,3,0.12,0.965835243981562,0.960172461783559,0.961971724285654,0.00179926250209472,0.155,0.155,0.0754,0.365161290322581,0.634838709677419,0.435013262599469,0.564986737400531,0.00801759171411141,0.00814453386929425,0.00187937802503466,0.000483616749169839,0.0137708731123017,0.0796,398,0.0558,0.0238,279,119,0.701005025125628,0.298994974874372,0.00237033895514296,-0.000571076453048154,-0.022603800277573,0.0369524548767728,0.712268011658721,-0.0471896993727944
sorting,4,0,0.966352766808786,0.966352766808786,0.96604169672655,-0.00031107008223541,0.1652,0.1652,0.2374,1,0,0.695871946082561,0.304128053917439,0,0.00112283956240151,0.000422048559234061,0.000809272664680447,-0.00878535387354484,0.0722,361,0,0.0722,0,361,0,1,0,-0.000311070082235391,-0.00430844989245694,0.00430844989245694,1,1
sorting,4,0.02,0.966352766808786,0.965475189393029,0.965319666107783,-0.000155523285245707,0.1652,0.1652,0.0926,0.700968523002421,0.299031476997579,0.840172786177106,0.159827213822894,0.00036208628679774,0.00140789563902668,0.000311556620679902,0.000333481538996246,0.0117125330924314,0.0726,363,0.0346,0.038,173,190,0.476584022038568,0.523415977961433,0.000350434486537547,-0.000505957771783321,0.00214219401164977,0.0117960366159899,0.966180108151204,0.158670560980958
sorting,4,0.05,0.966352766808786,0.963896769131709,0.963977718093802,8.09489620925419e-05,0.1652,0.1652,0.082,0.554479418886199,0.445520581113802,0.653658536585366,0.346341463414634,0.00196757956795696,0.0028465539381298,0.000366998732406745,0.000561467508178239,0.0141841934504642,0.0832,416,0.0452,0.038,226,190,0.543269230769231,0.456730769230769,0.00094304386859929,-0.000862094906506819,-0.000972944255919126,0.0216963795084869,0.887107189404287,0.0607255252331962
sorting,4,0.08,0.966352766808786,0.962211270155331,0.963003507790299,0.000792237634967719,0.1652,0.1652,0.0378,0.455205811138015,0.544794188861986,0.656084656084656,0.343915343915344,0.00431378996697272,0.00486191542539551,0.000599558610769213,0.000716334857973733,0.0339275735712246,0.1274,637,0.077,0.0504,385,252,0.604395604395604,0.395604395604396,0.00222640395094678,-0.00143416631597902,-0.00621850576897771,0.0287328906352104,0.802107422804297,0.0979787941401474
sorting,4,0.12,0.966352766808786,0.960061276367125,0.962324483765948,0.00226320739882246,0.1652,0.1652,0.0622,0.36319612590799,0.63680387409201,0.472668810289389,0.527331189710611,0.00813331512930738,0.00875535789034405,0.00070841775626684,0.00132990837015846,0.0206986221000597,0.103,515,0.0724,0.0306,362,153,0.702912621359223,0.297087378640777,0.00307529081799075,-0.000812083419168342,-0.0219728873672079,0.0377414974481466,0.70536199083848,0.031148435365424
sorting,5,0,0.966537108400913,0.966537108400913,0.965784115571579,-0.000752992829334387,0.1576,0.1576,0.0624,1,0,1,0,0,0.000941686326910678,0.000880516254195772,0.00151173045537803,0.0203998509406839,0.0952,476,0,0.0952,0,476,0,1,0,-0.000752992829334406,0.00790958854342863,0.00790958854342863,1,1
sorting,5,0.02,0.966537108400913,0.965692919522143,0.96570422594582,1.13064236771931e-05,0.1576,0.1576,0.1406,0.723350253807107,0.276649746192893,0.746799431009957,0.253200568990043,0.000362043800664279,0.00136517737971545,0.000347424575985996,0.000779418666956999,0.00205533381678047,0.017,85,0.008,0.009,40,45,0.470588235294118,0.529411764705882,9.73098400257361e-05,-8.60034163485495e-05,-0.000665083745716861,0.0107831327278992,0.968776838655073,0.0316396325972249
sorting,5,0.05,0.966537108400913,0.96382095893271,0.964103747312975,0.000282788380265298,0.1576,0.1576,0.0606,0.524111675126904,0.475888324873097,0.66996699669967,0.33003300330033,0.00195719369414776,0.00495602549838836,0.000482753256476403,0.00107214618808449,0.0210578220726703,0.097,485,0.055,0.042,275,210,0.567010309278351,0.43298969072165,0.0012031667794452,-0.000920378399179934,-0.00291534412644609,0.0218922183363416,0.884947657317906,0.160600380562892
