sample_size,learner,calibration_method,raw_bin,raw_bin_mid,raw_bin_lower,raw_bin_upper,corrected_rate,wrong_rate,total_flip_rate,count
1000,GLMnet,Causal Isotonic,15,-0.145004890204294,-0.153414334240231,-0.13670390165265,0,0,0,40634
1000,GLMnet,Causal Isotonic,10,-0.228549775788449,-0.236974434952779,-0.220262578554702,0,0,0,36479
1000,GLMnet,Causal Isotonic,17,-0.111662837393982,-0.119990255886286,-0.103279596314692,0.00183873103042487,-0.0119394934908922,0.013778224521317,40789
1000,GLMnet,Causal Isotonic,12,-0.195134817315424,-0.203548806499691,-0.186839100011457,0,0,0,39306
1000,GLMnet,Causal Isotonic,18,-0.0949378448817908,-0.10327820702694,-0.0865664114079064,0.00575254153235805,-0.0291842301016613,0.0349367716340193,40330
1000,GLMnet,Causal Isotonic,1,-0.378404489900194,-0.387382750586391,-0.370671233524511,0,0,0,5604
1000,GLMnet,Causal Isotonic,29,0.0883281504678432,0.0805552342052994,0.0972659092451489,0.0426683225405837,-0.0524261509802182,0.0950944735208019,11273
1000,GLMnet,Causal Isotonic,22,-0.0281159440125393,-0.0364298972595505,-0.019718432180729,0.0710174691311072,-0.20988311655384,0.280900585684947,39441
1000,GLMnet,Causal Isotonic,19,-0.078234963928585,-0.0865662585341114,-0.0698549525531601,0.0106062848404124,-0.0518721326032263,0.0624784174436387,40542
1000,GLMnet,Causal Isotonic,23,-0.0113986812135067,-0.0197177626118595,-0.00300680684527066,0.116696731748727,-0.281860144312394,0.398556876061121,37696
1000,GLMnet,Causal Isotonic,7,-0.278597954725098,-0.287110473343387,-0.270399498675797,0,0,0,28626
1000,GLMnet,Causal Isotonic,13,-0.178489287450809,-0.186837335802038,-0.170126837178724,0,0,0,39462
1000,GLMnet,Causal Isotonic,21,-0.0447896407542726,-0.0531421431909106,-0.036430389886759,0.0381024285894048,-0.129734491002894,0.167836919592299,39735
1000,GLMnet,Causal Isotonic,26,0.038527399231803,0.0304182177447201,0.0471296580064549,0.177151041092872,-0.11486908303037,0.292020124123242,27231
1000,GLMnet,Causal Isotonic,4,-0.328484270769227,-0.337245909074379,-0.320535001929738,0,0,0,15320
1000,GLMnet,Causal Isotonic,20,-0.0614713146158007,-0.0698536128758442,-0.0531422265703928,0.0170847967887607,-0.0790015052684395,0.0960863020572002,39860
1000,GLMnet,Causal Isotonic,9,-0.245228586564391,-0.253686166380985,-0.236975306319039,0,0,0,34532
1000,GLMnet,Causal Isotonic,3,-0.345178302441367,-0.353955322313891,-0.337246870440584,0,0,0,11367
1000,GLMnet,Causal Isotonic,11,-0.211828287670913,-0.220262196212171,-0.203551671011805,0,0,0,37787
